Note,Scale
C,C Major
C# / Db,C# / Db Major
D,D Major
D# / Eb,D# / Eb Major
E,E Major
F,F Major
F# / Gb,F# / Gb Major
G,G Major
G# / Ab,G# / Ab Major
A,A Major
A# / Bb,A# / Bb Major
B,B Major
C,C Natural Minor
C# / Db,C# / Db Natural Minor
D,D Natural Minor
D# / Eb,D# / Eb Natural Minor
E,E Natural Minor
F,F Natural Minor
F# / Gb,F# / Gb Natural Minor
G,G Natural Minor
G# / Ab,G# / Ab Natural Minor
A,A Natural Minor
A# / Bb,A# / Bb Natural Minor
B,B Natural Minor
C,C Harmonic Minor
C# / Db,C# / Db Harmonic Minor
D,D Harmonic Minor
D# / Eb,D# / Eb Harmonic Minor
E,E Harmonic Minor
F,F Harmonic Minor
F# / Gb,F# / Gb Harmonic Minor
G,G Harmonic Minor
G# / Ab,G# / Ab Harmonic Minor
A,A Harmonic Minor
A# / Bb,A# / Bb Harmonic Minor
B,B Harmonic Minor
C,C Melodic Minor
C# / Db,C# / Db Melodic Minor
D,D Melodic Minor
D# / Eb,D# / Eb Melodic Minor
E,E Melodic Minor
F,F Melodic Minor
F# / Gb,F# / Gb Melodic Minor
G,G Melodic Minor
G# / Ab,G# / Ab Melodic Minor
A,A Melodic Minor
A# / Bb,A# / Bb Melodic Minor
B,B Melodic Minor
