Note,Scale
C,C Major
C# / Db,C# / Db Major
D,D Major
D# / Eb,D# / Eb Major
E,E Major
F,F Major
F# / Gb,F# / Gb Major
G,G Major
G# / Ab,G# / Ab Major
A,A Major
A# / Bb,A# / Bb Major
B,B Major
C,C Natural Minor
C# / Db,C# / Db Natural Minor
D,D Natural Minor
D# / Eb,D# / Eb Natural Minor
E,E Natural Minor
F,F Natural Minor
F# / Gb,F# / Gb Natural Minor
G,G Natural Minor
G# / Ab,G# / Ab Natural Minor
A,A Natural Minor
A# / Bb,A# / Bb Natural Minor
B,B Natural Minor
C,C Harmonic Minor
C# / Db,C# / Db Harmonic Minor
D,D Harmonic Minor
D# / Eb,D# / Eb Harmonic Minor
E,E Harmonic Minor
F,F Harmonic Minor
F# / Gb,F# / Gb Harmonic Minor
G,G Harmonic Minor
G# / Ab,G# / Ab Harmonic Minor
A,A Harmonic Minor
A# / Bb,A# / Bb Harmonic Minor
B,B Harmonic Minor
C,C Melodic Minor
C# / Db,C# / Db Melodic Minor
D,D Melodic Minor
D# / Eb,D# / Eb Melodic Minor
E,E Melodic Minor
F,F Melodic Minor
F# / Gb,F# / Gb Melodic Minor
G,G Melodic Minor
G# / Ab,G# / Ab Melodic Minor
A,A Melodic Minor
A# / Bb,A# / Bb Melodic Minor
B,B Melodic Minor
C,C Minor Blues 
C# / Db,C# / Db Minor Blues 
D,D Minor Blues 
D# / Eb,D# / Eb Minor Blues 
E,E Minor Blues 
F,F Minor Blues 
F# / Gb,F# / Gb Minor Blues 
G,G Minor Blues 
G# / Ab,G# / Ab Minor Blues 
A,A Minor Blues 
A# / Bb,A# / Bb Minor Blues 
B,B Minor Blues 
C,C Major Blues 
C# / Db,C# / Db Major Blues 
D,D Major Blues 
D# / Eb,D# / Eb Major Blues 
E,E Major Blues 
F,F Major Blues 
F# / Gb,F# / Gb Major Blues 
G,G Major Blues 
G# / Ab,G# / Ab Major Blues 
A,A Major Blues 
A# / Bb,A# / Bb Major Blues 
B,B Major Blues 
C,C Minor Pentatonic 
C# / Db,C# / Db Minor Pentatonic 
D,D Minor Pentatonic 
D# / Eb,D# / Eb Minor Pentatonic 
E,E Minor Pentatonic 
F,F Minor Pentatonic 
F# / Gb,F# / Gb Minor Pentatonic 
G,G Minor Pentatonic 
G# / Ab,G# / Ab Minor Pentatonic 
A,A Minor Pentatonic 
A# / Bb,A# / Bb Minor Pentatonic 
B,B Minor Pentatonic 
C,C Major Pentatonic 
C# / Db,C# / Db Major Pentatonic 
D,D Major Pentatonic 
D# / Eb,D# / Eb Major Pentatonic 
E,E Major Pentatonic 
F,F Major Pentatonic 
F# / Gb,F# / Gb Major Pentatonic 
G,G Major Pentatonic 
G# / Ab,G# / Ab Major Pentatonic 
A,A Major Pentatonic 
A# / Bb,A# / Bb Major Pentatonic 
B,B Major Pentatonic 
